’t	O	O	O	O	O
Lopt	O	O	O	O	O
tegen	O	O	O	O	O
d’	O	O	O	O	O
aovend	O	O	O	O	O
van	O	O	O	O	O
’n	O	O	O	O	O
mooie	O	O	O	O	O
,	O	O	O	O	O
zunnege	O	O	O	O	O
Septemberdag	B-MISC	B-MISC	B-MISC	B-MISC	B-MISC
.	O	O	O	O	O
Zoo	O	O	O	O	O
’n	O	O	O	O	O
dag	O	O	O	O	O
is	O	O	O	O	O
geld	O	O	O	O	O
weerd	O	O	O	O	O
,	O	O	O	O	O
te	O	O	O	O	O
minsen	O	O	O	O	O
veur	O	O	O	O	O
de	O	O	O	O	O
man	O	O	O	O	O
van	O	O	O	O	O
dat	O	O	O	O	O
groote	O	O	O	O	O
florisante	O	O	O	O	O
boerenhoes	O	O	O	O	O
,	O	O	O	O	O
dat	O	O	O	O	O
daor	O	O	O	O	O
achter	O	O	O	O	O
dei	O	O	O	O	O
breide	O	O	O	O	O
grafte	O	O	O	O	O
en	O	O	O	O	O
schârrege	O	O	O	O	O
lindeboomen	O	O	O	O	O
ligt	O	O	O	O	O
.	O	O	O	O	O
’t	O	O	O	O	O
Is	O	O	O	O	O
ein	O	O	O	O	O
van	O	O	O	O	O
dei	O	O	O	O	O
groote	O	O	O	O	O
boerenplaotsen	O	O	O	O	O
,	O	O	O	O	O
zooas	O	O	O	O	O
ze	O	O	O	O	O
d’r	O	O	O	O	O
tegenwoordig	O	O	O	O	O
zoo	O	O	O	O	O
veul	O	O	O	O	O
bin	O	O	O	O	O
in	O	O	O	O	O
’t	O	O	O	O	B-LOC
Oldambt	B-LOC	B-LOC	B-LOC	B-LOC	I-LOC
.	O	O	O	O	O
’t	O	O	O	O	O
Heim	O	O	O	B-LOC	O
is	O	O	O	O	O
roem	O	O	O	O	O
en	O	O	O	O	O
mooi	O	O	O	O	O
ânlegd	O	O	O	O	O
,	O	O	O	O	O
’n	O	O	O	O	O
lânge	O	O	O	O	O
opridlaone	O	O	O	O	O
gait	O	O	O	O	O
achter	O	O	O	O	O
nao	O	O	O	O	O
de	O	O	O	O	O
groote	O	O	O	O	O
schure	O	O	O	O	O
,	O	O	O	O	O
en	O	O	O	O	O
’t	O	O	O	O	O
hoes	O	O	O	O	O
zulf	O	O	O	O	O
springt	O	O	O	O	O
ân	O	O	O	O	O
weêrskanten	O	O	O	O	O
mit	O	O	O	O	O
twei	O	O	O	O	O
of	O	O	O	O	O
drei	O	O	O	O	O
smâlle	O	O	O	O	O
vensters	O	O	O	O	O
oet	O	O	O	O	O
.	O	O	O	O	O
Dizze	O	O	O	O	O
plaotse	O	O	O	O	O
hier	O	O	O	O	O
heurt	O	O	O	O	O
an	O	O	O	O	O
Jân	B-PER	B-PER	B-PER	B-PER	B-PER
Robbers	I-PER	I-PER	I-PER	I-PER	I-PER
,	O	O	O	O	O
ein	O	O	O	O	O
van	O	O	O	O	O
de	O	O	O	O	O
riekste	O	O	O	O	O
boeren	O	O	O	O	O
van	O	O	O	O	O
’t	O	O	O	O	O
loug	O	O	O	O	O
.	O	O	O	O	O
Hij	O	O	O	O	O
is	O	O	O	O	O
al	O	O	O	O	O
tien	O	O	O	O	O
jaor	O	O	O	O	O
wedeman	O	O	O	O	O
,	O	O	O	O	O
en	O	O	O	O	O
zien	O	O	O	O	O
olste	O	O	O	O	O
dochter	O	O	O	O	O
Trudao	B-PER	B-PER	B-PER	B-PER	B-PER
,	O	O	O	O	O
dei	O	O	O	O	O
nō	O	O	O	O	O
de	O	O	O	O	O
hoeshollen	O	O	O	O	O
dut	O	O	O	O	O
,	O	O	O	O	O
is	O	O	O	O	O
einentwintig	O	O	O	O	O
jaor	O	O	O	O	O
.	O	O	O	O	O
Zien	O	O	O	O	O
baide	O	O	O	O	O
ânder	O	O	O	O	O
kinder	O	O	O	O	O
bin	O	O	O	O	O
veul	O	O	O	O	O
jonger	O	O	O	O	O
;	O	O	O	O	O
d’r	O	O	O	O	O
bin	O	O	O	O	O
twei	O	O	O	O	O
tusschen	O	O	O	O	O
dood	O	O	O	O	O
in	O	O	O	O	O
de	O	O	O	O	O
mezzels	O	O	O	O	O
.	O	O	O	O	O
Jantje	B-PER	B-PER	B-PER	B-PER	B-PER
,	O	O	O	O	O
dei	O	O	O	O	O
op	O	O	O	O	O
Trudao	B-PER	B-PER	B-PER	B-PER	B-PER
volgt	O	O	O	O	O
,	O	O	O	O	O
is	O	O	O	O	O
nō	O	O	O	O	O
zestien	O	O	O	O	O
en	O	O	O	O	O
veur	O	O	O	O	O
’n	O	O	O	O	O
jaor	O	O	O	O	O
nao	O	O	O	O	O
de	O	O	O	O	O
stad	O	O	O	O	O
.	O	O	O	O	O
Lammert	B-PER	B-PER	B-PER	B-PER	B-PER
,	O	O	O	O	O
de	O	O	O	O	O
jongste	O	O	O	O	O
,	O	O	O	O	O
is	O	O	O	O	O
elf	O	O	O	O	O
jaor	O	O	O	O	O
en	O	O	O	O	O
gait	O	O	O	O	O
nog	O	O	O	O	O
nao	O	O	O	O	O
schoule	O	O	O	O	O
.	O	O	O	O	O
Op	O	O	O	O	O
dit	O	O	O	O	O
oogenblik	O	O	O	O	O
net	O	O	O	O	O
stait	O	O	O	O	O
boer	O	O	O	O	O
Robbers	B-PER	B-PER	O	B-PER	B-PER
op	O	O	O	O	O
de	O	O	O	O	O
laone	O	O	O	O	O
te	O	O	O	O	O
praoten	O	O	O	O	O
mit	O	O	O	O	O
ein	O	O	O	O	O
van	O	O	O	O	O
zien	O	O	O	O	O
naobers	O	O	O	O	O
.	O	O	O	O	O
Robbers	B-PER	B-PER	B-PER	B-PER	B-PER
is	O	O	O	O	O
’n	O	O	O	O	O
forsche	O	O	O	O	O
,	O	O	O	O	O
dreige	O	O	O	O	O
kerel	O	O	O	O	O
mit	O	O	O	O	O
donker	O	O	O	O	O
haor	O	O	O	O	O
en	O	O	O	O	O
oogen	O	O	O	O	O
,	O	O	O	O	O
’n	O	O	O	O	O
vol	O	O	O	O	O
rood	O	O	O	O	O
gezichte	O	O	O	O	O
en	O	O	O	O	O
kört	O	O	O	O	O
schoren	O	O	O	O	O
baord	O	O	O	O	O
;	O	O	O	O	O
’n	O	O	O	O	O
man	O	O	O	O	O
nog	O	O	O	O	O
in	O	O	O	O	O
de	O	O	O	O	O
volle	O	O	O	O	O
kracht	O	O	O	O	O
van	O	O	O	O	O
’t	O	O	O	O	O
leven	O	O	O	O	O
,	O	O	O	O	O
even	O	O	O	O	O
in	O	O	O	O	O
de	O	O	O	O	O
vieftig	O	O	O	O	O
.	O	O	O	O	O
Nō	O	O	O	O	O
’e	O	O	O	O	O
net	O	O	O	O	O
ofschaid	O	O	O	O	O
nemt	O	O	O	O	O
van	O	O	O	O	O
zien	O	O	O	O	O
naober	O	O	O	O	O
en	O	O	O	O	O
achter	O	O	O	O	O
nao	O	O	O	O	O
de	O	O	O	O	O
schure	O	O	O	O	O
gait	O	O	O	O	O
,	O	O	O	O	O
waor	O	O	O	O	O
ze	O	O	O	O	O
drok	O	O	O	O	O
an	O	O	O	O	O
’t	O	O	O	O	O
inhaolen	O	O	O	O	O
bin	O	O	O	O	O
,	O	O	O	O	O
kikt	O	O	O	O	O
’e	O	O	O	O	O
neit	O	O	O	O	O
zoo	O	O	O	O	O
heil	O	O	O	O	O
vrundelk	O	O	O	O	O
.	O	O	O	O	O
Waorom	O	O	O	O	O
toch	O	O	O	O	O
?	O	O	O	O	O
’t	O	O	O	O	O
hâr	O	O	O	O	O
jah	O	O	O	O	O
zoo	O	O	O	O	O
’n	O	O	O	O	O
beste	O	O	O	O	O
dag	O	O	O	O	O
wêst	O	O	O	O	O
van	O	O	O	O	O
daoge	O	O	O	O	O
!	O	O	O	O	O
Mit	O	O	O	O	O
veir	O	O	O	O	O
span	O	O	O	O	O
hârren	O	O	O	O	O
ze	O	O	O	O	O
an	O	O	O	O	O
’t	O	O	O	O	O
mennen	O	O	O	O	O
west	O	O	O	O	O
,	O	O	O	O	O
en	O	O	O	O	O
al	O	O	O	O	O
’t	O	O	O	O	O
wit	O	O	O	O	O
koren	O	O	O	O	O
was	O	O	O	O	O
mooi	O	O	O	O	O
en	O	O	O	O	O
dreuge	O	O	O	O	O
bie	O	O	O	O	O
’n	O	O	O	O	O
ander	O	O	O	O	O
komen	O	O	O	O	O
.	O	O	O	O	O
Dat	O	O	O	O	O
was	O	O	O	O	O
hom	O	O	O	O	O
wat	O	O	O	O	O
weerd	O	O	O	O	O
;	O	O	O	O	O
hij	O	O	O	O	O
hâr	O	O	O	O	O
zoo’n	O	O	O	O	O
groot	O	O	O	O	O
gebroek	O	O	O	O	O
,	O	O	O	O	O
’n	O	O	O	O	O
duchtige	O	O	O	O	O
lappe	O	O	O	O	O
lând	O	O	O	O	O
