En;O
gedijnstig;O
,;O
't;O
kön;O
nich;O
beter;O
.;O

En;O
toch;O
bin;O
';O
d';O
mensen;O
nait;O
zoo;O
min;O
,;O
Moar;O
zit;O
'r;O
goude;O
laiding;O
in;O
?;O

t;O
Wichtje;O
gaf;O
heurent;O
aan;O
dat;O
kiend;O
.;O

';O
Wèl;O
hoalt;O
ter;O
nou;O
doalek;O
ain;O
bie;O
!;O

Dou;O
het;O
ze;O
zok;O
vast;O
wat;O
nuver;O
optuugd;O
,;O
'n;O
mooi;O
donker;O
klaid;O
mit;O
'n;O
oetsneden;O
haals;O
,;O
'n;O
houd;O
mit;O
'n;O
zwaart;O
gedientje;O
omdeele;O
,;O
en;O
zoo;O
,;O
en;O
dou;O
het;O
ze;O
't;O
weer;O
in;O
de;O
man;O
gooid;O
,;O
jao;O
?;O

Zwijg;O
!;O

Ik;O
kin;O
mie;O
ja;O
kant;O
nait;O
meer;O
onder;O
mien;O
volk;O
verteunen;O
!;O

Wit;O
as;O
snij;O
was;O
dij;O
!;O

Hij;O
hadde;O
wat;O
wit;O
gezichte;O
en;O
kop;O
en;O
kinne;O
wast;O
bedekt;O
mit;O
rood;O
stiekelhaor;O
.;O

Geert;B-PER
veuraal;O
,;O
moar;O
om;O
aal;O
heur;O
geld;O
vot;O
ien;O
zoo'n;O
hoeske;O
te;O
zett'n;O
,;O
doar;O
hadd'n;O
ze;O
't;O
nait;O
aan;O
tou;O
,;O
'n;O
beetje;O
mos;O
der;O
op;O
spoarbaank;O
blieven;O
.;O

En;O
is;O
mie;O
dat;O
ook;O
'n;O
bereken;O
,;O
dat;O
wie;O
dat;O
hierzoo;O
ook;O
mit;O
belieden;O
mouten;O
?;O

Zitste;O
weer;O
op;O
'n;O
schopstoule;O
?;O

En;O
's;O
nommiddags;O
op;O
de;O
Grode;B-LOC
Maark;I-LOC
zingen;O
van;O
ale;O
kinder;O
uut;O
hoogste;O
klazzen;O
van;O
schoul;O
.;O

Biene;B-PER
wör;O
zoo;O
wit;O
as;O
'n;O
muur;O
.;O

';O
Vot;O
doe;O
!;O

Zol;O
ik;O
dat;O
nou;O
nait;O
beter;O
waiten;O
as;O
doe;O
?;O

Doe;O
hier;O
Kloas;B-PER
en;O
ie;O
doar;O
.;O

Maor;O
,;O
vrumd;O
aigelk;O
,;O
'k;O
haar;O
